Date,Year,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N),Species ,realYear,realDate
25-Jun-2018,2018.0,Boating,USA,California,Paddling,F,NO INJURY,N,White shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='25-Jun-2018'>"
18-Jun-2018,2018.0,Unprovoked,USA,Georgia,Standing,F,thigh,N,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='18-Jun-2018'>"
09-Jun-2018,2018.0,Invalid,USA,Hawaii,Surfing,M,leg,N,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='09-Jun-2018'>"
08-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,leg,N,2 m shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='08-Jun-2018'>"
04-Jun-2018,2018.0,Provoked,MEXICO,Colima,Free diving,M,leg,N,"Tiger shark, 3m","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='04-Jun-2018'>"
03-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Kite surfing,M,NO INJURY,N,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='03-Jun-2018'>"
03-Jun-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,FATAL,Y,Tiger shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='03-Jun-2018'>"
27-May-2018,2018.0,Unprovoked,USA,Florida,Fishing,M,foot,N,"Lemon shark, 3'","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='27-May-2018'>"
26-May-2018,2018.0,Unprovoked,USA,Florida,Walking,M,leg,N,"Bull shark, 6'","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='26-May-2018'>"
26-May-2018,2018.0,Unprovoked,USA,Florida,Standing,M,foot,N,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='26-May-2018'>"
24-May-2018,2018.0,Provoked,AUSTRALIA,Queensland,Feeding sharks,M,hand,N,Grey reef shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='24-May-2018'>"
21-May-2018,2018.0,Unprovoked,USA,South Carolina,Boogie boarding,M,leg,N,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='21-May-2018'>"
13-May-2018,2018.0,Unprovoked,USA,South Carolina,Swimming,M,arm,N,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='13-May-2018'>"
13-May-2018,2018.0,Invalid,ENGLAND,Cornwall,Fishing,M,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Invalid incident,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='13-May-2018'>"
12-May-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,MINOR INJURY,N,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='12-May-2018'>"
09-May-2018,2018.0,Questionable,AUSTRALIA,New South Wales,Surfing,M,NO INJURY,N,Shark involvement not confirmed,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='09-May-2018'>"
Reported 30-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Swimming,M,foot,N,,"<re.Match object; span=(16, 20), match='2018'>","<re.Match object; span=(9, 20), match='30-Apr-2018'>"
28-Apr-2018,2018.0,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,M,NO INJURY,N,Tiger shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='28-Apr-2018'>"
28-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,NO INJURY,N,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='28-Apr-2018'>"
25-Apr-2018,2018.0,Questionable,AUSTRALIA,New South Wales,Surfing,M,NO INJURY,N,Questionable,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='25-Apr-2018'>"
25-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,NO INJURY,N,3 m shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='25-Apr-2018'>"
24-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,leg,N,"White shark, 3.5 m","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='24-Apr-2018'>"
23-Apr-2018,2018.0,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,M,hand,N,Tiger shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='23-Apr-2018'>"
22-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,M,NO INJURY,N,"White shark, 2.5 m","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='22-Apr-2018'>"
19-Apr-2018,2018.0,Unprovoked,USA,Hawaii,Body boarding,M,leg,N,6' shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='19-Apr-2018'>"
15-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Swimming,M,foot,N,Juvenile bull shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='15-Apr-2018'>"
15-Apr-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,leg,,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='15-Apr-2018'>"
15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,thigh,N,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='15-Apr-2018'>"
15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,leg,N,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='15-Apr-2018'>"
14-Apr-2018,2018.0,Unprovoked,BAHAMAS,New Providence,Surfing,M,NO INJURY,N,Tiger shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='14-Apr-2018'>"
Reported 10-Apr-2018,2018.0,Invalid,BRAZIL,Alagoas,Fishing,M,foot,N,Shark involvement not confirmed,"<re.Match object; span=(16, 20), match='2018'>","<re.Match object; span=(9, 20), match='10-Apr-2018'>"
09-Apr-2018,2018.0,Unprovoked,NEW CALEDONIA,,Windsurfing,,NO INJURY,N,2 m shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='09-Apr-2018'>"
05-Apr-2018,2018.0,Unprovoked,BAHAMAS,,Swimming,M,foot,N,Bull shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='05-Apr-2018'>"
03-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,leg,N,White shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='03-Apr-2018'>"
31-Mar-2018,2018.0,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,leg,N,"Tiger shark, 12'","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='31-Mar-2018'>"
14-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Wading,M,leg,N,Wobbegong shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='14-Mar-2018'>"
24-Feb-2018,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M, The shark & man simply collided; neither were injured,N,Blacktip shark,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='24-Feb-2018'>"
23-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,F,leg,N,"Juvenile white shark,  2.7 to 3.2 m","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='23-Feb-2018'>"
18-Feb-2018,2018.0,Provoked,AUSTRALIA,Victoria,Kayak fishing for sharks,M,NO INJURY,N,,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='18-Feb-2018'>"
15-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Walking,M,leg,N,"Bull shark, 2 m","<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='15-Feb-2018'>"
14-Feb-2018,2018.0,Invalid,AUSTRALIA,Queensland,Swimming,F,NO INJURY,N,Possibly a wobbegong,"<re.Match object; span=(7, 11), match='2018'>","<re.Match object; span=(0, 11), match='14-Feb-2018'>"
